iter	Passed	Remaining
294	4740	11328
295	4745	11286
296	4790	11340
297	4805	11319
298	4811	11281
299	4816	11238
300	4823	11200
301	4828	11160
302	4833	11118
303	4840	11082
304	4846	11043
305	4852	11004
306	4859	10969
307	4865	10931
308	4871	10893
309	4877	10856
310	4883	10818
311	4888	10779
312	4893	10741
313	4901	10707
314	4907	10670
315	4912	10633
316	4918	10596
317	4923	10559
318	4933	10531
319	4943	10504
320	4950	10472
321	4958	10440
322	4964	10406
323	4969	10369
324	4975	10333
325	4982	10301
326	4987	10265
327	5034	10315
328	5049	10299
329	5056	10266
330	5063	10233
331	5070	10201
332	5077	10169
333	5085	10140
334	5091	10106
335	5097	10073
336	5104	10042
337	5114	10016
338	5119	9983
339	5125	9948
340	5132	9918
341	5143	9896
342	5154	9872
343	5161	9843
344	5170	9816
345	5178	9788
346	5186	9760
347	5193	9730
348	5198	9696
349	5204	9665
350	5210	9633
351	5215	9602
352	5221	9570
353	5227	9539
354	5233	9509
355	5298	9585
356	5307	9558
357	5314	9531
358	5324	9507
359	5330	9476
360	5341	9454
361	5348	9425
362	5353	9394
363	5361	9368
364	5371	9345
365	5378	9316
366	5384	9286
367	5390	9258
368	5397	9229
369	5403	9201
370	5408	9170
371	5414	9140
372	5422	9115
373	5428	9085
374	5436	9060
375	5443	9033
376	5453	9011
377	5460	8985
378	5469	8961
379	5474	8932
380	5503	8940
381	5535	8955
382	5543	8930
383	5551	8904
384	5558	8879
385	5564	8850
386	5570	8823
387	5576	8795
388	5582	8768
389	5587	8738
390	5594	8713
391	5601	8688
392	5608	8662
393	5614	8634
394	5618	8605
395	5627	8583
396	5637	8562
397	5644	8537
398	5650	8511
399	5658	8487
400	5663	8460
401	5670	8435
402	5675	8407
403	5680	8380
404	5730	8419
405	5771	8443
406	5788	8433
407	5797	8411
408	5811	8396
409	5821	8377
410	5827	8350
411	5833	8325
412	5838	8298
413	5843	8271
414	5851	8248
415	5858	8224
416	5866	8202
417	5871	8174
418	5876	8148
419	5884	8125
420	5889	8100
421	5895	8074
422	5902	8052
423	5909	8027
424	5917	8005
425	5922	7979
426	5927	7954
427	5981	7994
428	5989	7971
429	5999	7953
430	6008	7931
431	6015	7908
432	6021	7885
433	6026	7859
434	6033	7836
435	6039	7812
436	6046	7789
437	6054	7768
438	6062	7746
439	6067	7722
440	6072	7697
441	6079	7674
442	6086	7652
443	6091	7628
444	6101	7610
445	6106	7584
446	6119	7570
447	6127	7550
448	6132	7526
449	6138	7502
450	6145	7480
451	6150	7457
452	6156	7433
453	6163	7412
454	6168	7388
455	6194	7389
456	6228	7400
457	6243	7388
458	6249	7365
459	6258	7347
460	6262	7322
461	6268	7299
462	6274	7277
463	6280	7255
464	6288	7234
465	6297	7216
466	6302	7192
467	6308	7171
468	6314	7148
469	6321	7128
470	6327	7106
471	6331	7082
472	6338	7062
473	6344	7040
474	6349	7017
475	6356	6997
476	6362	6975
477	6367	6953
478	6374	6932
479	6379	6910
480	6386	6891
481	6392	6869
482	6398	6848
483	6405	6828
484	6412	6808
485	6459	6831
486	6472	6817
487	6477	6796
488	6485	6776
489	6490	6755
490	6496	6734
491	6509	6720
492	6518	6703
493	6524	6683
494	6532	6664
495	6538	6643
496	6545	6624
497	6553	6606
498	6559	6585
499	6565	6565
500	6571	6544
501	6576	6524
502	6584	6505
503	6589	6485
504	6596	6466
505	6603	6446
506	6609	6426
507	6620	6411
508	6625	6391
509	6635	6375
510	6642	6356
511	6653	6341
512	6658	6321
513	6714	6349
514	6731	6339
515	6738	6321
516	6748	6304
517	6755	6285
518	6763	6268
519	6770	6249
520	6780	6233
521	6787	6215
522	6796	6198
523	6802	6179
524	6807	6159
525	6815	6141
526	6820	6121
527	6826	6102
528	6831	6082
529	6836	6062
530	6844	6044
531	6848	6024
532	6854	6005
533	6860	5987
534	6867	5968
535	6873	5949
536	6878	5930
537	6883	5911
538	6890	5893
539	6896	5874
540	6902	5856
541	6959	5880
542	6985	5879
543	6992	5861
544	6998	5842
545	7003	5823
546	7010	5805
547	7021	5791
548	7026	5772
549	7031	5753
550	7037	5734
551	7042	5715
552	7048	5697
553	7056	5680
554	7061	5661
555	7066	5643
556	7072	5624
557	7078	5606
558	7083	5588
559	7090	5570
560	7096	5553
561	7103	5536
562	7111	5520
563	7118	5502
564	7122	5483
565	7127	5465
566	7135	5449
567	7141	5431
568	7146	5413
569	7201	5432
570	7207	5415
571	7216	5399
572	7221	5381
573	7226	5363
574	7237	5349
575	7251	5337
576	7266	5327
577	7274	5311
578	7282	5294
579	7287	5277
580	7293	5260
581	7300	5243
582	7306	5226
583	7315	5210
584	7320	5193
585	7325	5175
586	7335	5161
587	7347	5148
588	7352	5130
589	7358	5113
590	7363	5096
591	7369	5078
592	7377	5063
593	7381	5045
594	7387	5028
595	7393	5011
596	7450	5029
597	7458	5013
598	7462	4996
599	7468	4978
600	7475	4962
601	7481	4946
602	7486	4929
603	7494	4913
604	7501	4897
605	7507	4881
606	7514	4864
607	7521	4849
608	7527	4832
609	7533	4816
610	7539	4800
611	7545	4783
612	7550	4766
613	7556	4750
614	7562	4734
615	7567	4717
616	7575	4702
617	7587	4689
618	7596	4675
619	7605	4661
620	7613	4646
621	7618	4630
622	7624	4613
623	7629	4597
624	7634	4580
625	7680	4588
626	7694	4577
627	7699	4560
628	7706	4545
629	7712	4529
630	7722	4515
631	7729	4500
632	7737	4486
633	7742	4469
634	7747	4453
635	7754	4437
636	7759	4421
637	7764	4405
638	7771	4390
639	7778	4375
640	7784	4359
641	7792	4345
642	7799	4330
643	7804	4314
644	7809	4298
645	7817	4283
646	7822	4267
647	7827	4251
648	7834	4237
649	7840	4221
650	7845	4205
651	7850	4190
652	7855	4174
653	7861	4158
654	7867	4143
655	7874	4129
656	7881	4114
657	7929	4121
658	7943	4110
659	7956	4098
660	7962	4083
661	7967	4067
662	7974	4053
663	7981	4038
664	7988	4024
665	7994	4009
666	8002	3995
667	8009	3980
668	8016	3966
669	8021	3950
670	8027	3936
671	8033	3921
672	8040	3906
673	8045	3891
674	8050	3875
675	8056	3861
676	8060	3845
677	8066	3830
678	8075	3817
679	8079	3802
680	8085	3787
681	8091	3772
682	8106	3762
683	8112	3747
684	8117	3733
685	8124	3718
686	8178	3725
687	8183	3711
688	8192	3697
689	8199	3683
690	8206	3669
691	8211	3655
692	8217	3640
693	8223	3625
694	8227	3610
695	8234	3596
696	8241	3582
697	8248	3568
698	8256	3555
699	8263	3541
700	8270	3527
701	8275	3513
702	8282	3499
703	8289	3485
704	8299	3473
705	8306	3459
706	8313	3445
707	8322	3432
708	8332	3419
709	8338	3405
710	8343	3391
711	8349	3377
712	8354	3363
713	8361	3349
714	8367	3335
715	8426	3342
716	8433	3328
717	8438	3314
718	8444	3300
719	8450	3286
720	8455	3271
721	8461	3257
722	8467	3244
723	8472	3229
724	8479	3216
725	8499	3207
726	8504	3193
727	8511	3179
728	8516	3165
729	8521	3151
730	8528	3138
731	8536	3125
732	8544	3112
733	8550	3098
734	8558	3085
735	8564	3072
736	8571	3058
737	8578	3045
738	8585	3032
739	8593	3019
740	8598	3005
741	8602	2991
742	8609	2978
743	8660	2980
744	8667	2966
745	8675	2954
746	8684	2941
747	8701	2931
748	8718	2921
749	8739	2913
750	8746	2900
751	8752	2886
752	8761	2873
753	8767	2860
754	8776	2848
755	8783	2834
756	8790	2821
757	8796	2808
758	8805	2795
759	8815	2783
760	8827	2772
761	8836	2759
762	8843	2746
763	8851	2734
764	8904	2735
765	8937	2730
766	8944	2717
767	8951	2704
768	8959	2691
769	8971	2679
770	8978	2666
771	8985	2653
772	8992	2640
773	9001	2628
774	9009	2615
775	9025	2605
776	9040	2594
777	9056	2584
778	9068	2572
779	9075	2559
780	9085	2547
781	9092	2534
782	9098	2521
783	9159	2523
784	9167	2510
785	9173	2497
786	9182	2485
787	9192	2473
788	9200	2460
789	9208	2447
790	9214	2434
791	9221	2421
792	9229	2409
793	9237	2396
794	9244	2383
795	9252	2371
796	9261	2358
797	9272	2347
798	9288	2336
799	9295	2323
800	9301	2310
801	9307	2297
802	9313	2284
803	9321	2272
804	9328	2259
805	9335	2247
806	9342	2234
807	9413	2236
808	9422	2224
809	9429	2211
810	9437	2199
811	9444	2186
812	9454	2174
813	9465	2162
814	9474	2150
815	9483	2138
816	9492	2126
817	9502	2114
818	9510	2101
819	9523	2090
820	9538	2079
821	9549	2067
822	9558	2055
823	9568	2043
824	9576	2031
825	9585	2019
826	9618	2012
827	9649	2004
828	9662	1993
829	9670	1980
830	9677	1968
831	9683	1955
832	9689	1942
833	9696	1929
834	9701	1917
835	9708	1904
836	9714	1891
837	9720	1879
838	9726	1866
839	9731	1853
840	9740	1841
841	9746	1828
842	9750	1816
843	9758	1803
844	9765	1791
845	9772	1779
846	9778	1766
847	9783	1753
848	9788	1741
849	9794	1728
850	9802	1716
851	9807	1703
852	9813	1691
853	9819	1678
854	9825	1666
855	9876	1661
856	9888	1650
857	9894	1637
858	9900	1625
859	9907	1612
860	9911	1600
861	9918	1587
862	9923	1575
863	9929	1562
864	9938	1551
865	9945	1538
866	9954	1526
867	9960	1514
868	9967	1502
869	9975	1490
870	9982	1478
871	9987	1466
872	9992	1453
873	9999	1441
874	10007	1429
875	10017	1418
876	10022	1405
877	10027	1393
878	10036	1381
879	10048	1370
880	10056	1358
881	10062	1346
882	10067	1334
883	10111	1326
884	10122	1315
885	10130	1303
886	10136	1291
887	10143	1279
888	10155	1267
889	10168	1256
890	10178	1245
891	10189	1233
892	10196	1221
893	10203	1209
894	10210	1197
895	10216	1185
896	10222	1173
897	10228	1161
898	10235	1149
899	10242	1138
900	10248	1126
901	10254	1114
902	10260	1102
903	10266	1090
904	10271	1078
905	10276	1066
906	10283	1054
907	10290	1042
908	10295	1030
909	10301	1018
910	10307	1006
911	10312	995
912	10363	987
913	10376	976
914	10383	964
915	10389	952
916	10395	940
917	10401	929
918	10406	917
919	10413	905
920	10418	893
921	10427	882
922	10439	870
923	10448	859
924	10456	847
925	10462	836
926	10467	824
927	10472	812
928	10478	800
929	10483	789
930	10494	777
931	10501	766
932	10513	754
933	10521	743
934	10528	731
935	10533	720
936	10539	708
937	10546	697
938	10599	688
939	10611	677
940	10616	665
941	10627	654
942	10635	642
943	10646	631
944	10652	619
945	10659	608
946	10665	596
947	10669	585
948	10676	573
949	10681	562
950	10688	550
951	10694	539
952	10698	527
953	10704	516
954	10710	504
955	10715	493
956	10723	481
957	10728	470
958	10733	458
959	10741	447
960	10748	436
961	10756	424
962	10761	413
963	10765	402
964	10772	390
965	10777	379
966	10782	367
967	10789	356
968	10794	345
969	10850	335
970	10874	324
971	10879	313
972	10887	302
973	10892	290
974	10900	279
975	10906	268
976	10910	256
977	10917	245
978	10923	234
979	10927	223
980	10935	211
981	10942	200
982	10948	189
983	10955	178
984	10961	166
985	10967	155
986	10974	144
987	10984	133
988	10988	122
989	10996	111
990	11001	99
991	11006	88
992	11012	77
993	11018	66
994	11024	55
995	11031	44
996	11038	33
997	11091	22
998	11097	11
999	11102	0
