iter	RMSE
158	35643.84215
159	35511.77469
160	35405.02211
161	35262.55888
162	35163.25711
163	35022.32385
164	34884.13202
165	34772.83379
166	34645.2945
167	34519.71733
168	34417.57177
169	34280.23372
170	34169.7862
171	34035.93405
172	33935.98453
173	33826.0707
174	33720.04089
175	33615.01054
176	33488.62673
177	33357.7178
178	33263.20903
179	33159.10715
180	33054.59329
181	32947.46398
182	32829.18998
183	32731.31491
184	32627.1128
185	32528.94686
186	32408.84919
187	32310.08187
188	32226.36384
189	32137.62444
190	32052.40527
191	31951.74197
192	31863.09729
193	31758.73568
194	31674.85091
195	31596.57864
196	31511.14033
197	31421.34553
198	31333.44676
199	31234.59231
200	31138.32504
201	31059.52209
202	30983.89247
203	30897.69058
204	30815.64
205	30724.71167
206	30649.23068
207	30566.44402
208	30470.37209
209	30399.67226
210	30336.38177
211	30250.88073
212	30154.62159
213	30072.65504
214	29994.84243
215	29916.08698
216	29847.47054
217	29775.36522
218	29698.64941
219	29611.25656
220	29542.59527
221	29466.8519
222	29404.10925
223	29318.66314
224	29256.11248
225	29185.78121
226	29115.1306
227	29039.34952
228	28962.32371
229	28894.02248
230	28833.74488
231	28763.66822
232	28699.94633
233	28642.63435
234	28585.78915
235	28522.37244
236	28458.65697
237	28391.69671
238	28332.96774
239	28265.69618
240	28210.49941
241	28133.75142
242	28077.07699
243	28022.44489
244	27967.51941
245	27907.49281
246	27829.98058
247	27773.85146
248	27710.98383
249	27643.93738
250	27588.54528
251	27534.16158
252	27483.34241
253	27428.13429
254	27371.23083
255	27303.59717
256	27238.87565
257	27181.38079
258	27126.95431
259	27083.72256
260	27031.0352
261	26975.09312
262	26929.05971
263	26869.29125
264	26813.74875
265	26756.01331
266	26691.72791
267	26630.16416
268	26576.35044
269	26518.8168
270	26456.81923
271	26411.92844
272	26351.28545
273	26301.93817
274	26264.94712
275	26201.80703
276	26146.67348
277	26097.49383
278	26048.40389
279	25992.78208
280	25940.01708
281	25891.90815
282	25851.66145
283	25811.19482
284	25770.32649
285	25726.44761
286	25672.46362
287	25635.85185
288	25599.42874
289	25554.12867
290	25514.88343
291	25473.14245
292	25434.93983
293	25384.14432
294	25345.30163
295	25304.15347
296	25262.74477
297	25219.81268
298	25172.89958
299	25131.26349
300	25097.68853
301	25049.73627
302	25012.58342
303	24977.16161
304	24927.37142
305	24875.45754
306	24839.96107
307	24789.69753
308	24756.89121
309	24714.53792
310	24679.52867
311	24650.31237
312	24614.33596
313	24565.37963
314	24530.1116
315	24498.22729
316	24462.31559
317	24430.95005
318	24400.89253
319	24367.1871
320	24326.76989
321	24296.20654
322	24269.04445
323	24234.22113
324	24202.04973
325	24162.35705
326	24112.14429
327	24072.18278
328	24037.27023
329	24005.89811
330	23970.05092
331	23943.35747
332	23899.68059
333	23867.07865
334	23835.92989
335	23811.7943
336	23771.54748
337	23741.86538
338	23714.2505
339	23682.85455
340	23646.48264
341	23617.11752
342	23588.85936
343	23560.32683
344	23535.63419
345	23507.29465
346	23469.49713
347	23435.99822
348	23397.98732
349	23368.33513
350	23336.66654
351	23307.66106
352	23275.99212
353	23241.49636
354	23213.38686
355	23186.87121
356	23150.53377
357	23127.11409
358	23093.50864
359	23072.29538
360	23044.17493
361	23019.08475
362	22997.08885
363	22965.49517
364	22941.23883
365	22914.92319
366	22893.10199
367	22868.18236
368	22834.8423
369	22806.32244
370	22778.51405
371	22751.66483
372	22728.7994
373	22702.10023
374	22671.09965
375	22654.50429
376	22634.8845
377	22610.09703
378	22592.02089
379	22572.1982
380	22552.45088
381	22531.22192
382	22508.40641
383	22483.61168
384	22463.26942
385	22444.6284
386	22413.92667
387	22397.04517
388	22376.46981
389	22352.36259
390	22321.95604
391	22299.9143
392	22276.36285
393	22254.47231
394	22225.51772
395	22201.24646
396	22185.08285
397	22163.10667
398	22139.46488
399	22112.34621
400	22093.56416
401	22063.22876
402	22039.56471
403	22020.17258
404	21995.82946
405	21974.52349
406	21952.67975
407	21932.34035
408	21915.09526
409	21895.10217
410	21864.6336
411	21841.57741
412	21815.67501
413	21801.5129
414	21786.94163
415	21772.79223
416	21754.08918
417	21737.83922
418	21718.13299
419	21702.70178
420	21676.92343
421	21649.02615
422	21627.15142
423	21612.95804
424	21590.89973
425	21572.3359
426	21552.28697
427	21531.94924
428	21512.87524
429	21500.03596
430	21486.22976
431	21471.68826
432	21455.44609
433	21437.70707
434	21422.76124
435	21401.00153
436	21389.97465
437	21372.75125
438	21349.27779
439	21331.59325
440	21314.61916
441	21297.04086
442	21274.67371
443	21260.1117
444	21250.5773
445	21232.8562
446	21222.27036
447	21210.29683
448	21197.03002
449	21178.42385
450	21165.4873
451	21153.90116
452	21129.99123
453	21116.6638
454	21104.34022
455	21090.73627
456	21069.46987
457	21054.83025
458	21043.41004
459	21028.91104
460	21008.21878
461	20997.38566
462	20982.25915
463	20972.23372
464	20958.15406
465	20946.71312
466	20933.05053
467	20913.5664
468	20902.04533
469	20886.94986
470	20868.14251
471	20851.15623
472	20833.80682
473	20817.01437
474	20798.23903
475	20786.37124
476	20768.89801
477	20757.9013
478	20739.85138
479	20720.7209
480	20706.80356
481	20693.44796
482	20682.76547
483	20670.13819
484	20657.56865
485	20639.83047
486	20627.05422
487	20617.01055
488	20605.97166
489	20593.75369
490	20579.78494
491	20565.2477
492	20556.0224
493	20540.91071
494	20524.62763
495	20511.6462
496	20497.42471
497	20487.54271
498	20472.7264
499	20460.85599
500	20443.71257
501	20432.89117
502	20416.66518
503	20400.27606
504	20382.38471
505	20368.99838
506	20350.4137
507	20340.08453
508	20326.21502
509	20313.3261
510	20305.72989
511	20294.44659
512	20282.29705
513	20266.56786
514	20256.174
515	20242.94186
516	20227.16142
517	20219.0404
518	20208.59552
519	20197.47333
520	20188.29557
521	20171.77446
522	20160.48178
523	20151.95942
524	20141.01853
525	20126.4327
526	20111.30312
527	20093.60103
528	20082.57791
529	20073.60735
530	20063.40444
531	20048.37834
532	20040.0835
533	20027.80012
534	20017.96605
535	20009.06335
536	19996.11739
537	19986.98009
538	19973.1298
539	19961.29896
540	19950.99433
541	19940.60377
542	19931.83453
543	19922.37754
544	19911.20119
545	19901.50962
546	19890.404
547	19877.4142
548	19866.45816
549	19858.05694
550	19842.12287
551	19822.89389
552	19810.94574
553	19798.84525
554	19788.64184
555	19779.85953
556	19768.22981
557	19756.80921
558	19741.38651
559	19728.5452
560	19719.34305
561	19702.90161
562	19691.86857
563	19681.62274
564	19665.1102
565	19657.28762
566	19647.62176
567	19633.57244
568	19624.35003
569	19608.93723
570	19598.77356
571	19589.90454
572	19581.93185
573	19577.58505
574	19566.14146
575	19559.13065
576	19552.88662
577	19543.01662
578	19533.0238
579	19522.62914
580	19508.24193
581	19495.61897
582	19482.26442
583	19475.41624
584	19468.62269
585	19452.54223
586	19439.49952
587	19430.34798
588	19420.51561
589	19409.5055
590	19398.44171
591	19390.76283
592	19381.08189
593	19373.36714
594	19363.30358
595	19351.33569
596	19339.50939
597	19330.76851
598	19319.20195
599	19310.66571
600	19297.99259
601	19286.07764
602	19271.48418
603	19262.28937
604	19252.09082
605	19243.91728
606	19236.8922
607	19227.352
608	19219.91201
609	19208.9807
610	19196.46776
611	19184.23073
612	19176.34696
613	19162.46268
614	19153.84581
615	19147.67689
616	19141.4705
617	19131.12737
618	19119.59019
619	19110.34713
620	19101.495
621	19092.22459
622	19083.13443
623	19077.22901
624	19070.02275
625	19061.85166
626	19053.70133
627	19041.50875
628	19036.7196
629	19024.60019
630	19016.35167
631	19004.42809
632	18995.47168
633	18986.05689
634	18977.7268
635	18967.65062
636	18961.07191
637	18954.29568
638	18942.76736
639	18935.48665
640	18923.69776
641	18916.88478
642	18909.4819
643	18899.78499
644	18891.42134
645	18880.36571
646	18874.92586
647	18866.44887
648	18857.87069
649	18853.88217
650	18847.07897
651	18832.17512
652	18825.33026
653	18814.83208
654	18805.81923
655	18795.89851
656	18789.19491
657	18784.86068
658	18771.13586
659	18763.5632
660	18755.56453
661	18746.83249
662	18741.76097
663	18731.51691
664	18721.2246
665	18711.35274
666	18704.93488
667	18698.29424
668	18687.33501
669	18676.72497
670	18671.05764
671	18663.07963
672	18657.47806
673	18651.63291
674	18645.0103
675	18639.5739
676	18633.04678
677	18624.30235
678	18616.66749
679	18610.73284
680	18602.52641
681	18596.19251
682	18590.01757
683	18581.65567
684	18574.48473
685	18565.91163
686	18557.74938
687	18552.43601
688	18544.4969
689	18535.04512
690	18526.22963
691	18521.14787
692	18510.6304
693	18499.06093
694	18494.43502
695	18484.37196
696	18476.15448
697	18466.86825
698	18457.5852
699	18451.74298
700	18439.17327
701	18432.29028
702	18422.5052
703	18417.0801
704	18405.30331
705	18398.98763
706	18393.18706
707	18387.20628
708	18380.18409
709	18371.27645
710	18365.84699
711	18354.06735
712	18346.04144
713	18338.07483
714	18332.75308
715	18327.65163
716	18320.93367
717	18316.96519
718	18306.29132
719	18297.51596
720	18285.71465
721	18278.57236
722	18271.49869
723	18264.79043
724	18259.01962
725	18253.52675
726	18248.53935
727	18243.07391
728	18237.39192
729	18229.61054
730	18221.84782
731	18215.71073
732	18207.20387
733	18198.84752
734	18189.25477
735	18179.61361
736	18169.0449
737	18162.95322
738	18158.62134
739	18153.59434
740	18146.92375
741	18142.21534
742	18136.86961
743	18127.57273
744	18120.20347
745	18110.30392
746	18103.96677
747	18095.83493
748	18091.71853
749	18083.44313
750	18074.21961
751	18068.92273
752	18065.14785
753	18061.04169
754	18055.01432
755	18046.80134
756	18039.9139
757	18032.70506
758	18026.88162
759	18016.8328
760	18006.78389
761	17997.76928
762	17986.57451
763	17981.07744
764	17975.09205
765	17967.45774
766	17956.85298
767	17948.85988
768	17940.92503
769	17936.22745
770	17928.21562
771	17924.34657
772	17916.54596
773	17909.98033
774	17896.30087
775	17889.8933
776	17882.84243
777	17877.77607
778	17869.49991
779	17863.71944
780	17858.79322
781	17851.17378
782	17840.00666
783	17832.96576
784	17824.17091
785	17820.51288
786	17811.3467
787	17802.16528
788	17794.01722
789	17789.4618
790	17785.12143
791	17779.21514
792	17774.62148
793	17765.37859
794	17760.78749
795	17755.71758
796	17749.38016
797	17741.90513
798	17731.89083
799	17725.91714
800	17721.46651
801	17714.35384
802	17706.38282
803	17699.60784
804	17691.37369
805	17686.08247
806	17681.17956
807	17675.52039
808	17668.06246
809	17659.38309
810	17649.70469
811	17640.97687
812	17634.34039
813	17626.61897
814	17619.31106
815	17615.21031
816	17608.15579
817	17600.01333
818	17593.96847
819	17584.48644
820	17574.98927
821	17567.7022
822	17560.24273
823	17555.11785
824	17551.48604
825	17547.56162
826	17541.97056
827	17536.77522
828	17530.4924
829	17524.17771
830	17520.23035
831	17509.78945
832	17505.23292
833	17496.33747
834	17489.83467
835	17482.06111
836	17476.79665
837	17466.07602
838	17459.42976
839	17455.47658
840	17448.73606
841	17444.81594
842	17440.47116
843	17433.56889
844	17429.73758
845	17421.39931
846	17413.73217
847	17406.35011
848	17399.9586
849	17390.33493
850	17385.31449
851	17381.47239
852	17374.46286
853	17365.54666
854	17361.36484
855	17357.42846
856	17351.84999
857	17347.67705
858	17339.90762
859	17330.23098
860	17327.18997
861	17324.08789
862	17315.72281
863	17309.45856
864	17301.78237
865	17295.7149
866	17291.23271
867	17283.23303
868	17273.5583
869	17268.63663
870	17259.89923
871	17252.7231
872	17243.54533
873	17236.40322
874	17231.32504
875	17222.77731
876	17219.5978
877	17213.10848
878	17208.11579
879	17198.03947
880	17191.86415
881	17186.34271
882	17181.82046
883	17173.15651
884	17165.5536
885	17157.54508
886	17151.58835
887	17145.72292
888	17139.25276
889	17135.19911
890	17126.14512
891	17121.94282
892	17116.11038
893	17108.87329
894	17105.39602
895	17096.8293
896	17087.7295
897	17083.74831
898	17077.35503
899	17070.88633
900	17067.34083
901	17058.34471
902	17051.99376
903	17048.53268
904	17039.9251
905	17032.88205
906	17027.71891
907	17023.98574
908	17018.24806
909	17011.49853
910	17005.89216
911	17000.26621
912	16997.06754
913	16993.23399
914	16988.92495
915	16982.58424
916	16977.50995
917	16971.64444
918	16965.46461
919	16961.55186
920	16957.54696
921	16953.55662
922	16948.04685
923	16943.42146
924	16938.26178
925	16933.2351
926	16925.46197
927	16920.92832
928	16917.37193
929	16914.16601
930	16907.63378
931	16898.14828
932	16893.36404
933	16888.55042
934	16884.46663
935	16878.65567
936	16873.16998
937	16868.84766
938	16864.18562
939	16858.61002
940	16850.93071
941	16846.29344
942	16839.68939
943	16834.84678
944	16827.18245
945	16821.06182
946	16818.15735
947	16814.86567
948	16809.19653
949	16803.24929
950	16800.03737
951	16792.18097
952	16787.13663
953	16782.83622
954	16777.2867
955	16773.05684
956	16768.62132
957	16766.15287
958	16760.00884
959	16755.05266
960	16749.57355
961	16744.51609
962	16738.9933
963	16734.78834
964	16730.16274
965	16723.37461
966	16718.10078
967	16712.63284
968	16707.32949
969	16703.04029
970	16697.33405
971	16691.77387
972	16686.19102
973	16679.80829
974	16674.61482
975	16668.4324
976	16665.00012
977	16659.9753
978	16655.23328
979	16650.08628
980	16644.70259
981	16639.81288
982	16635.15552
983	16629.83035
984	16626.61877
985	16623.54639
986	16616.98509
987	16613.55431
988	16606.01272
989	16600.57308
990	16593.09755
991	16588.61581
992	16581.57725
993	16576.7077
994	16569.5283
995	16562.78273
996	16558.22413
997	16553.24062
998	16551.04892
999	16545.05047
